Recap results for each fold:


====================== Fold 0 ====================== 
Saving model in /Users/lfoppiano/development/projects/grobid/grobid-home/tmp/material_nfold_0_faleffqznd.wapiti
Training input data: /Users/lfoppiano/development/projects/grobid/grobid-home/tmp/material4430465112287362039.train
Evaluation input data: /Users/lfoppiano/development/projects/grobid/grobid-home/tmp/material219957325820222084.test
=== START RAW RESULTS ===
CdRe	cdre	C	Cd	CdR	CdRe	e	Re	dRe	CdRe	INITCAP	NODIGIT	0	NOPUNCT	CdRe	XxXXx	XxXx	I-<formula>	I-<formula>
2	2	2	2	2	2	2	2	2	2	NOCAPS	ALLDIGIT	1	NOPUNCT	X	d	d	<formula>	<formula>
O	o	O	O	O	O	O	O	O	O	ALLCAPS	NODIGIT	1	NOPUNCT	O	X	X	<formula>	<formula>
7	7	7	7	7	7	7	7	7	7	NOCAPS	ALLDIGIT	1	NOPUNCT	X	d	d	<formula>	<formula>

Nd	nd	N	Nd	Nd	Nd	d	Nd	Nd	Nd	INITCAP	NODIGIT	0	NOPUNCT	Nd	Xx	Xx	I-<formula>	I-<formula>
2	2	2	2	2	2	2	2	2	2	NOCAPS	ALLDIGIT	1	NOPUNCT	X	d	d	<formula>	<formula>
Ϫx	ϫx	Ϫ	Ϫx	Ϫx	Ϫx	x	Ϫx	Ϫx	Ϫx	INITCAP	NODIGIT	0	NOPUNCT	Ϫx	Xx	Xx	<formula>	<formula>
Ce	ce	C	Ce	Ce	Ce	e	Ce	Ce	Ce	INITCAP	NODIGIT	0	NOPUNCT	Ce	Xx	Xx	<formula>	<formula>
x	x	x	x	x	x	x	x	x	x	NOCAPS	NODIGIT	1	NOPUNCT	x	x	x	<formula>	<formula>
CuO	cuo	C	Cu	CuO	CuO	O	uO	CuO	CuO	INITCAP	NODIGIT	0	NOPUNCT	CuO	XxX	XxX	<formula>	<formula>
y	y	y	y	y	y	y	y	y	y	NOCAPS	NODIGIT	1	NOPUNCT	y	x	x	<formula>	<formula>

KOs	kos	K	KO	KOs	KOs	s	Os	KOs	KOs	INITCAP	NODIGIT	0	NOPUNCT	KOs	XXx	Xx	I-<formula>	I-<formula>
2	2	2	2	2	2	2	2	2	2	NOCAPS	ALLDIGIT	1	NOPUNCT	X	d	d	<formula>	<formula>
O	o	O	O	O	O	O	O	O	O	ALLCAPS	NODIGIT	1	NOPUNCT	O	X	X	<formula>	<formula>
6	6	6	6	6	6	6	6	6	6	NOCAPS	ALLDIGIT	1	NOPUNCT	X	d	d	<formula>	<formula>

Mg	mg	M	Mg	Mg	Mg	g	Mg	Mg	Mg	INITCAP	NODIGIT	0	NOPUNCT	Mg	Xx	Xx	I-<formula>	I-<formula>
(	(	(	(	(	(	(	(	(	(	ALLCAPS	NODIGIT	1	OPENBRACKET	(	(	(	<formula>	<formula>
B	b	B	B	B	B	B	B	B	B	ALLCAPS	NODIGIT	1	NOPUNCT	B	X	X	<formula>	<formula>
